refLocal;idVehiculo
1880670;57182
1775612;56666
1685078;56282
1900918;57254
1457544;55405
1718710;56416
1887311;-1721776371
1749243;56542
1883679;57191
1862147;57106
1797713;56675
1259002;54545
1333424;54893
1820680;56887
1889275;57209
1881711;57037
112979;-1570361189
408192;50844
511564;50613
512286;-1116539557
516126;-1826143760
652263;-1271677000
745940;50678
752407;52113
958080;-1244319886
978934;-1690994433
1099662;52219
1102642;-1820504336
1141616;-1081031720
1155157;53135
1206484;54091
1254113;54253
538405;-1311909238
731598;50963
920061;-1717203714
1074005;53483
1159331;54026
1173670;54032
1178674;53986
1188446;54186
1204222;54288
1241178;53760
1243716;54365
1255322;-1932323960
1257757;-1456300930
1261048;54575
1285956;54686
1292865;54687
1300997;54704
1309312;54704
1315519;54365
1317305;54781
1317366;54851
1317643;-1775764623
1318413;54365
1329114;54883
1331482;54846
1331483;54846
1338338;54895
1338339;54895
1349875;54911
1370129;55109
1370274;54673
1370362;54026
1370659;52451
1399669;53289
1400227;-1437246559
1435085;55316
1471304;-1536326350
1471305;-1141080847
1484688;-1674202985
1484721;-1192379296
1484742;54296
1484815;55456
1584030;55777
1584064;55777
1584095;55777
1584210;55777
1591630;55868
1636846;56064
1636960;56064
1643760;-1243293648
1643761;-1818613023
1643766;-1333249232
1695159;55884
1747734;55478
1332310;54191
1349462;55009
1308194;54225
1316055;54820
1349472;-1292213608
1387818;55192
818509;52180
1012275;-1744881839
1286445;53483
1303364;54683
1303640;54703
1308888;54779
1309001;54756
1309342;54778
1309399;-1822040892
1310018;54775
1312389;54835
1313408;54785
1314627;54781
1317315;53985
1318672;54837
1326618;-1814569009
1326869;-1076953760
1349456;55009
1352024;55078
1363703;55084
1370181;55092
1381428;55159
1398319;55234
1442912;55336
1450388;55203
1953470;-1643786446
1313696;52868
1075375;53487
1358475;-1998406047
1438492;55388
1781753;56721
1928330;57332
879901;52590
1307531;54444
1307532;54444
1308246;54764
1309326;-1329760766
1309406;54778
1313396;54306
1313397;54306
1332211;54890
1349536;55018
1354280;54202
1450387;55203
1274631;53163
1411863;55287
1854688;57069
1856300;57069
1854672;57069
1854681;57069
1854845;57069
1854874;57069
1855552;57069
1855566;57069
1855843;57069
1855844;57069
1855862;57069
1855869;57069
1855870;57069
1856289;57069
1856297;57069
1856299;57069
1854637;57069
1854645;57069
1854648;57069
1854649;57069
1854652;57069
1854653;57069
1854660;57069
1854664;57069
1854670;57069
1854679;57069
1854680;57069
1854684;57069
1854851;57069
1854852;57069
1854858;57069
1855444;57069
1855567;57069
1856284;57069
1856285;57069
1856291;57069
1856292;57069
1854685;57069
1854691;57069
1854855;57069
1854856;57069
1855849;57069
1856306;57069
1817484;56880
1269728;54612
1817343;56880
1287769;53107
1307957;54223
1309216;54755
1308193;54364
1779179;56697
1899787;57248
1912812;57305
1912816;57305
1912891;57305
1912908;57305
1912961;57305
1913006;57305
1912780;57305
1912790;57305
1912813;57305
1912817;57305
1912818;57305
1912821;57305
1912832;57305
1912841;57305
1912850;57305
1912874;57305
1912906;57305
1912909;57305
1912910;57305
1912911;57305
1912914;57305
1912915;57305
1912921;57305
1912942;57305
1912952;57305
1912962;57305
1912969;57305
1912972;57305
1912974;57305
1912998;57305
1913002;57305
1913008;57305
1913009;57305
1912806;57305
1912825;57305
1912826;57305
1912827;57305
1912831;57305
1912833;57305
1912840;57305
1912884;57305
1912888;57305
1912896;57305
1912897;57305
1912898;57305
1912907;57305
1912913;57305
1912917;57305
1912934;57305
1912945;57305
1912946;57305
1912949;57305
1912950;57305
1912975;57305
1912979;57305
1912981;57305
1912982;57305
1912993;57305
1912994;57305
1913001;57305
1913003;57305
1913004;57305
1913011;57305
429526;-1452279256
1286289;54679
1352154;55051
1619008;55991
1353760;-1154044058
1508031;-1963465574
1186578;53582
1909470;57287
1143204;50592
1269306;-1671785974
1371975;55157
1635567;-1718782852
1719190;56418
1556554;55374
1626491;56021
1373823;55125
1912778;57305
1912786;57305
1912787;57305
1912792;57305
1912954;57305
1912997;57305
1913015;57305
1803341;56811
1951262;57481
1951266;57481
1951267;57481
1951268;57481
1951324;57481
1951376;57481
1920081;57347
681643;51878
1371681;55130
1060078;52568
1386105;54688
1864733;57124
1927648;57391
1871355;57138
1840615;56905
1175808;54088
1359483;-1811328806
1848039;56947
1607144;55937
1860029;57100
537655;51176
516138;-1889429870
1236598;54456
1457851;54456
1457853;54456
1241035;54254
1525293;55582
1747647;56080
1749458;56538
485677;-1874578136
496814;51180
860544;-1705553786
1582871;55850
1585558;55822
1685775;56285
1822178;55844
1822179;55844
1822180;55844
1894923;57228
1894924;57228
1203522;-1272983064
1816028;56826
1344474;54951
1126537;53777
1404545;54349
1894022;57223
1665878;56191
1809226;56851
1947722;-1460341170
1872278;57141
1914336;57310
1780638;56695
1836362;56981
1919298;57341
1846142;-1804807253
1846139;-1452382533
1845565;-1008653254
1845566;-1493641646
1846136;-1067281534
1846137;-1557085934
1846138;-1332829324
1845556;-1132379809
1848921;57044
1882838;57188
1953491;57487
1953492;57487
1953527;57487
1953548;57487
1953569;57487
1953604;57487
1953624;57487
1953625;57487
1953634;57487
1953661;57487
1953674;57487
1953675;57487
1953676;57487
1953677;57487
1953683;57487
1953696;57487
1709002;56373
1921010;57350
1767994;56632
1625193;56016
1908311;57283
1863315;57113
1852608;57060
1795061;56787
1951241;57481
1951251;57481
1951252;57481
1951257;57481
1951319;57481
1951322;57481
1951327;57481
1951454;57481
1951388;57481
1466393;54475
1884739;57195
1884775;57195
1884777;57195
1913690;57302
1822971;56922
1950377;57382
1471408;55450
1793015;56783
1793077;56783
1793078;56783
1793142;56783
1793148;56783
1793157;56783
1767857;56632
1767886;56632
1802225;56808
1802231;56808
1802237;56808
1824614;56904
1855178;57075
1767935;56632
1940582;57433
1940622;57433
1718635;56416
1795260;56787
1936210;57417
1951229;57481
1870483;57146
1908836;57286
1914760;57311
1836442;56981
170388;49895
1904716;57270
1655063;56152
1912811;57305
1915439;57308
537055;49684
1888170;57092
1810131;56730
1948066;-1112552400
1873242;57130
1784630;56749
1914310;57310
1903189;57263
1921371;57352
1847792;57021
1809135;56769
1934899;57380
1900973;57254
1925678;57385
1925720;57385
1925723;57385
1925724;57385
1925750;57385
1925824;57385
1925828;57385
1925835;57385
1925857;57385
1925893;57385
1925895;57385
1925898;57385
1925912;57385
1925931;57385
1925932;57385
1925945;57385
1925725;57385
1925726;57385
1925728;57385
1925735;57385
1925737;57385
1925741;57385
1925744;57385
1925746;57385
1925747;57385
1925756;57385
1925758;57385
1925827;57385
1925829;57385
1925830;57385
1925844;57385
1925845;57385
1925872;57385
1925885;57385
1925889;57385
1925892;57385
1925899;57385
1925913;57385
1925917;57385
1925918;57385
1925923;57385
1925930;57385
1925933;57385
1925948;57385
1925810;57385
1925887;57385
1925934;57385
1924158;57359
1927847;57325
1927918;57325
1928036;57325
1953040;57486
1630073;-1141501119
1730001;56461
1730030;56461
1730055;56461
1730057;56461
1730100;56461
1730161;56461
109814;-1753894957
1848691;57043
1848692;57043
1792458;56741
1618911;55804
1881497;57184
1930533;-1723130128
1683731;55769
1421789;55313
1921380;57352
1929469;57395
1934999;57372
1874385;57134
1841718;57000
1883803;57000
1550824;55711
1863518;57115
